Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
4700000,25,2020,9,9,3,0.0249108510638297,4,0,0,1,0
4700000,25,2020,8,7,5,0.0166251063829787,2,1,0,0,0
4700000,25,2020,8,5,3,0.0130442553191489,2,0,1,0,0
4700000,25,2020,7,16,4,0.0213625531914893,2,0,1,0,0
4700000,25,2020,5,23,6,0.035595744680851,1,0,0,1,0
4700000,25,2020,4,24,5,0.0445368085106383,2,0,1,0,0
4700000,25,2020,4,8,3,0.041061914893617,1,1,0,0,0
4700000,25,2020,3,16,1,0.0233393617021276,1,0,1,0,0
4700000,25,2020,3,16,1,0.0233080851063829,1,0,1,0,0
4700000,25,2020,2,26,3,0.0621863829787234,1,0,1,0,0
4700000,25,2020,2,4,2,0.0279417021276595,1,0,0,1,0
4700000,25,2020,2,1,6,0.0998082978723404,2,0,0,1,0
4700000,25,2020,1,14,2,0.0549982978723404,1,0,0,1,0
4700000,25,2019,3,3,7,0.0451897872340425,3,0,1,0,0
4700000,25,2019,2,23,6,0.0195510638297872,4,0,0,1,0
4700000,25,2019,2,13,3,0.016723829787234,1,0,0,1,0
4700000,25,2018,12,14,5,0.0664040425531914,2,1,0,0,0
4700000,25,2018,12,7,5,0.0190753191489361,2,0,0,1,0
7000000,275,2020,11,6,5,0.0004171428571428,2,0,1,0,0
7000000,275,2020,11,5,4,0.0012764285714285,1,0,1,0,0
7000000,275,2020,11,2,1,0.0009738571428571,0,0,1,0,0
7000000,275,2020,11,2,1,0.0011991428571428,0,0,1,0,0
7000000,275,2020,10,31,6,0.0052137142857142,1,0,1,0,0
7000000,275,2020,10,31,6,0.0050361428571428,2,1,0,0,0
7000000,275,2020,10,30,5,0.0144207142857142,0,0,1,0,0
7000000,275,2020,10,30,5,0.0117792857142857,2,0,1,0,0
7000000,275,2020,10,30,5,0.0017272857142857,0,1,0,0,0
7000000,275,2020,10,29,4,0.0016281428571428,0,0,1,0,0
7000000,275,2020,10,28,3,0.0088444285714285,1,0,1,0,0
7000000,275,2020,10,27,2,0.000797,0,0,1,0,0
7000000,275,2020,10,27,2,0.0033795714285714,1,0,1,0,0
7000000,275,2020,10,26,1,0.003922,2,0,1,0,0
7000000,275,2020,10,25,7,0.004092,1,0,1,0,0
7000000,275,2020,10,23,5,0.0077072857142857,0,0,1,0,0
7000000,275,2020,10,23,5,0.0062824285714285,0,0,0,1,0
7000000,275,2020,10,22,4,0.0020622857142857,0,0,0,1,0
7000000,275,2020,10,21,3,0.0313114285714285,0,0,0,1,0
7000000,275,2020,10,19,1,0.0168402857142857,0,0,1,0,0
7000000,275,2020,10,16,5,0.10148,1,0,1,0,0
7000000,275,2020,10,15,4,0.0508201428571428,0,0,1,0,0
7000000,275,2020,10,14,3,0.0109555714285714,2,0,1,0,0
7000000,275,2020,10,14,3,0.0318157142857142,1,0,1,0,0
7000000,275,2020,10,13,2,0.0082774285714285,1,0,1,0,0
8500000,32,2020,9,3,4,0.0362717647058823,0,0,1,0,0
8500000,32,2020,8,25,2,0.0689248235294117,0,1,0,0,0
8500000,32,2020,8,22,6,0.0913970588235294,0,1,0,0,0
8500000,32,2020,8,3,1,0.1007910588235294,0,1,0,0,0
8500000,32,2020,8,2,7,0.0420222352941176,0,0,1,0,0
8500000,32,2020,6,11,4,0.0743742352941176,0,0,1,0,0
8500000,32,2018,2,27,2,0.091491294117647,0,0,1,0,0
3300,11,2020,9,19,6,0.0248484848484848,11,0,1,0,0
3300,11,2020,9,17,4,0.0378787878787878,9,0,1,0,0
3300,11,2020,9,13,7,0.0548484848484848,9,0,0,0,1
3300,11,2020,9,12,6,0.0139393939393939,5,0,0,0,1
3300,11,2020,8,31,1,0.0218181818181818,0,0,1,0,0
3300,11,2020,8,31,1,0.0284848484848484,7,0,0,1,0
2700000,33,2020,10,10,6,0.0841825925925925,0,0,0,0,1
2700000,33,2020,7,9,4,0.0489981481481481,0,0,1,0,0
2700000,33,2020,7,8,3,0.0668318518518518,0,1,0,0,0
2700000,33,2020,6,21,7,0.0346848148148148,0,1,0,0,0
2700000,33,2020,5,30,6,0.0363096296296296,0,1,0,0,0
2700000,33,2020,5,23,6,0.0996503703703703,0,1,0,0,0
2700000,33,2020,5,21,4,0.06852,0,0,1,0,0
2700000,33,2020,5,20,3,0.0739422222222222,0,1,0,0,0
2700000,33,2020,5,17,7,0.077514074074074,0,1,0,0,0
2700000,33,2020,5,16,6,0.030137037037037,0,0,0,1,0
2700000,33,2020,5,15,5,0.0777088888888888,0,0,1,0,0
2700000,33,2020,5,14,4,0.0899581481481481,0,0,1,0,0
2700000,33,2020,5,14,4,0.0399766666666666,0,0,1,0,0
2700000,33,2020,5,14,4,0.0782603703703703,0,0,1,0,0
2700000,33,2020,5,14,4,0.0564781481481481,0,0,1,0,0
2700000,33,2020,5,14,4,0.0375737037037037,0,0,1,0,0
2700000,33,2020,5,11,1,0.0396811111111111,0,1,0,0,0
